WKT,id,nombre,direccion,materiales,mas_info,dia_hora,tipo,cooperativ,calle,altura,calle2,barrio,comuna
"POINT (-58.464634598031 -34.5673114271266)",PV-073,PLAZA CASTELLI,CONDE y JURAMENTO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,CONDE,,JURAMENTO,BELGRANO,COMUNA 13
"POINT (-58.4247575949544 -34.5890926138789)",PV-081,PLAZA ARMENIA,MALABIA y NICARAGUA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,MALABIA,,NICARAGUA,PALERMO,COMUNA 14
"POINT (-58.4683708218154 -34.5470464523292)",PV-074,PLAZA BALCARCE,MANZANARES y VUELTA DE OBLIGADO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,MANZANARES,,VUELTA DE OBLIGADO,NUÑEZ,COMUNA 13
"POINT (-58.5039885340967 -34.5763941135912)",PV-070,PLAZA LEANDRO N ALEM,"ARTIGAS, JOSE GERVASIO GRAL. y LARSEN",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,"ARTIGAS, JOSE GERVASIO GRAL.",,LARSEN,VILLA PUEYRREDON,COMUNA 12
"POINT (-58.4834187153287 -34.6296117832603)",PV-054,PLAZA VELEZ SARSFIELD,AVELLANEDA AV. y CHIVILCOY,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,AVELLANEDA AV.,,CHIVILCOY,FLORESTA,COMUNA 10
"POINT (-58.5164511523164 -34.6494611405422)",PV-044,PARQUE SANTOJANNI,"DE LA TORRE, LISANDRO y PATRON",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,"DE LA TORRE, LISANDRO",,PATRON,LINIERS,COMUNA 9
"POINT (-58.4697701858878 -34.6644631774234)",PV-037,PLAZA CALABRIA,CASTAÑARES AV. y ESCALADA AV.,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Primavera,CASTAÑARES AV.,,ESCALADA AV.,VILLA SOLDATI,COMUNA 8
"POINT (-58.4428212518265 -34.6358226883811)",PV-029,PARQUE CHACABUCO,ASAMBLEA AV. y PUAN,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,ASAMBLEA AV.,,PUAN,PARQUE CHACABUCO,COMUNA 7
"POINT (-58.4190248441798 -34.6052794065506)",PV-021,PLAZA ALMAGRO,SARMIENTO y BULNES,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,SARMIENTO,,BULNES,ALMAGRO,COMUNA 5
"POINT (-58.3746262620514 -34.6375860364289)",PV-014,PLAZA COLOMBIA,"MONTES DE OCA, MANUEL AV. y BRANDSEN",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Recuperador Urbano el Trebol,"MONTES DE OCA, MANUEL AV.",,BRANDSEN,BARRACAS,COMUNA 4
"POINT (-58.4038250276177 -34.6171243389801)",PV-010,PLAZA DR. J. M. VELASCO IBARRA,JUJUY AV. y MEXICO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,JUJUY AV.,,MEXICO,BALVANERA,COMUNA 3
"POINT (-58.3758630255791 -34.6221775195749)",PV-001,PLAZA ROSARIO VERA PEÑALOZZA,SAN JUAN AV. y CHACABUCO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Cartonera del Sur,SAN JUAN AV.,,CHACABUCO,SAN TELMO,COMUNA 1
"POINT (-58.4330506142859 -34.6064458661756)",PV-028,PARQUE CENTENARIO,PATRICIAS ARGENTINAS AV. y ROENTGEN AV.,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,PATRICIAS ARGENTINAS AV.,,ROENTGEN AV.,CABALLITO,COMUNA 6
"POINT (-58.4819399162085 -34.5515398593451)",PV-065,PARQUE SAAVEDRA 1,"PEREZ, ROQUE y PAROISSIEN",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,"PEREZ, ROQUE",,PAROISSIEN,SAAVEDRA,COMUNA 12
"POINT (-58.4631006903741 -34.5803265318524)",PV-087,PLAZA 25 DE AGOSTO,CHARLONE y HEREDIA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,CHARLONE,,HEREDIA,VILLA OTUZAR,COMUNA 15
"POINT (-58.4936706207135 -34.605547824347)",PV-058,PLAZA ARISTOBULO DEL VALLE,CAMPANA y BAIGORRIA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,CAMPANA,,BAIGORRIA,VILLA DEL PARQUE,COMUNA 11
"POINT (-58.3978974923583 -34.6113883782966)",PV-009,PLAZA 1RO DE MAYO,"YRIGOYEN, HIPOLITO y PASCO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,"YRIGOYEN, HIPOLITO",,PASCO,BALVANERA,COMUNA 3
"POINT (-58.4126899761199 -34.6220542254795)",PV-022,PLAZA BOEDO,ESTADOS UNIDOS y SANCHEZ DE LORIA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,ESTADOS UNIDOS,,SANCHEZ DE LORIA,BOEDO,COMUNA 5
"POINT (-58.4752020922909 -34.6878859302668)",PV-036,PLAZA SUDAMÉRICA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F. GRAL. AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Baires Cero,PIEDRA BUENA AV.,,"FERNANDEZ DE LA CRUZ, F. GRAL. AV.",VILLA RIACHUELO,COMUNA 8
"POINT (-58.449262273857 -34.5919093816859)",PV-084,PARQUE LOS ANDES,DORREGO AV. y GUZMAN,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,DORREGO AV.,,GUZMAN,CHACARITA,COMUNA 15
"POINT (-58.4161035645719 -34.5893590937859)",PV-080,PLAZA GUEMES,MEDRANO y CHARCAS,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,MEDRANO,,CHARCAS,PALERMO,COMUNA 14
"POINT (-58.4546826447819 -34.5618041154275)",PV-075,PLAZA MANUEL BELGRANO,CUBA y JURAMENTO AV.,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,CUBA,,JURAMENTO AV.,BELGRANO,COMUNA 13
"POINT (-58.5125938878895 -34.6003804201567)",PV-060,PLAZA ARENALES,NUEVA YORK y MERCEDES,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,NUEVA YORK,,MERCEDES,VILLA DEVOTO,COMUNA 11
"POINT (-58.5085445990707 -34.6263932944959)",PV-050,PLAZA DON BOSCO,"LOPE DE VEGA AV. y GONZALEZ, ELPIDIO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,LOPE DE VEGA AV.,,"GONZALEZ, ELPIDIO",MONTE CASTRO,COMUNA 10
"POINT (-58.4817507018098 -34.6430586487105)",PV-042,PARQUE AVELLANEDA,DIRECTORIO AV. y FERNANDEZ,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,DIRECTORIO AV.,,FERNANDEZ,PARQUE AVELLANEDA,COMUNA 9
"POINT (-58.4642362318725 -34.6280612019433)",PV-030,PLAZA PUEYRREDÓN,"YERBAL y ARTIGAS, JOSE GERVASIO GRAL.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,YERBAL,,"ARTIGAS, JOSE GERVASIO GRAL.",FLORES,COMUNA 7
"POINT (-58.4341927502845 -34.6174901201364)",PV-024,PARQUE RIVADAVIA,"RIVADAVIA AV. y BALCARCE, FLORENCIO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor / Organicos (jueves),"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,RIVADAVIA AV.,,"BALCARCE, FLORENCIO",CABALLITO,COMUNA 6
"POINT (-58.4046401403741 -34.6242434222341)",PV-008,PLAZA VEA,SAN JUAN AV. y DEAN FUNES,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,SAN JUAN AV.,,DEAN FUNES,SAN CRISTOBAL,COMUNA 3
"POINT (-58.4586040253146 -34.6137026244554)",PV-025,PLAZA IRLANDA,"ALVAREZ, DONATO TTE. GRAL. y GAONA AV.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,"ALVAREZ, DONATO TTE. GRAL.",,GAONA AV.,CABALLITO,COMUNA 6
"POINT (-58.4876433512469 -34.5600091415174)",PV-062,PLAZA ALBERDI,"LARRALDE, CRISOLOGO AV. y ACHA, MARIANO GRAL.",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Las Madreselvas,"LARRALDE, CRISOLOGO AV.",,"ACHA, MARIANO GRAL.",SAAVEDRA,COMUNA 12
"POINT (-58.5205635840229 -34.6280588688275)",PV-049,PLAZA CIUDAD DE BANFF,ARREGUI AV. y LISBOA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,ARREGUI AV.,,LISBOA,VERSALLES,COMUNA 10
"POINT (-58.4680785838005 -34.6102003550235)",PV-061,PLAZA ROQUE SAENZ PEÑA,"ESCALADA DE SAN MARTIN, R. y BOYACA",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,"ESCALADA DE SAN MARTIN, R.",,BOYACA,VILLA GENERAL MITRE,COMUNA 11
"POINT (-58.4736949750693 -34.6212350762077)",PV-033,PLAZA DE LOS PERIODISTAS,NAZCA  AV. y NEUQUEN,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,NAZCA AV.,,NEUQUEN,FLORES,COMUNA 7
"POINT (-58.4844776354102 -34.5876698993872)",PV-088,PLAZA NOBEL,BUCAREST y HAMBURGO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,BUCAREST,,HAMBURGO,PARQUE CHAS,COMUNA 15
"POINT (-58.4453107369556 -34.6048632280585)",PV-089,PLAZA BENITO NAZAR,ANTEZANA y OLAYA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,ANTEZANA,,OLAYA,VILLA CRESPO,COMUNA 15
"POINT (-58.4893209319339 -34.5720354437169)",PV-067,PLAZA ECHEVERRIA,"RIVERA, PEDRO I. DR. y BAUNESS",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,"RIVERA, PEDRO I. DR.",,BAUNESS,VILLA URQUIZA,COMUNA 12
"POINT (-58.5204283597567 -34.6573485595094)",PV-047,PLAZA ROMULO ZABALA,ERCILLA 7502,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores del Oeste,ERCILLA,"7502",,MATADEROS,COMUNA 9
"POINT (-58.4842919488629 -34.6474575933788)",PV-041,PLAZA DOMINGO OLIVERA,OLIVERA AV. 824,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,OLIVERA AV.,"824",,PARQUE AVELLANEDA,COMUNA 9
"POINT (-58.4472357685429 -34.5392957558842)",PV-072,FADU / CIUDAD UNIVERSITARIA,"GUIRALDES, INT. 2560",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Trabajo Las Madreselvas,"GUIRALDES, INT.","2160",,BELGRANO,COMUNA 13
"POINT (-58.397764371141 -34.5885011310972)",PV-004,PLAZA EMILIO MITRE,LAS HERAS GENERAL AV. y CANTILO,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,LAS HERAS GRAL. AV.,,CANTILO,RECOLETA,COMUNA 2
